pair_id,mechanism,source,snr_db,ref_r0_km,ref_v,ref_psi_deg,alt_r0_km,alt_v,alt_psi_deg,delta_r_km,delta_v,delta_psi_deg,rc2_bearing_rmse_deg,T_s,turn_deg,layer,available,reject_rate_wrong,retain_rate_true,mean_margin,mean_c_ref,mean_c_alt
A06,A,S0,10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,0.0015773778570322364,0.09614513982716733,0.09772251768419957
A06,A,S0,0.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,3.0674117299414485e-06,3.0674117299414485e-06
A06,A,S0,0.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.875,0.0011370386945900937,0.5131270324700543,0.5142640711646445
A06,A,S0,0.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A06,A,S0,0.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.875,0.0011370386945900937,0.5131270324700543,0.5142640711646445
A06,A,S0,-10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,1.201941587048243e-05,1.201941587048243e-05
A06,A,S0,-10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.5,8.572122961073014e-05,0.95088386548561,0.9509695867152208
A06,A,S0,-10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A06,A,S0,-10.0,50.0,,,45.0,,,5.0,0.8,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,8.572122961073014e-05,0.95088386548561,0.9509695867152208
A07,A,S0,noiseless,50.0,2.0,0.0,55.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A07,A,S0,noiseless,50.0,2.0,0.0,55.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ,True,1.0,1.0,8.699631428431841e-05,7.68217429298853e-21,8.699631428431842e-05
A07,A,S0,noiseless,50.0,2.0,0.0,55.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A07,A,S0,noiseless,50.0,2.0,0.0,55.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,1.0,1.0,8.699631428431841e-05,7.68217429298853e-21,8.699631428431842e-05
A07,A,S0,20.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,7.312455859593235e-07,7.312455859593235e-07
A07,A,S0,20.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.875,5.879222513005761e-05,0.010652520397007516,0.010711312622137573
A07,A,S0,20.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A07,A,S0,20.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.875,5.879222513005761e-05,0.010652520397007516,0.010711312622137573
A07,A,S0,10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,8.136936498469205e-07,8.136936498469205e-07
A07,A,S0,10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.5,-3.6329678734446993e-05,0.09529585452539024,0.0952595248466558
A07,A,S0,10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A07,A,S0,10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,-3.6329678734446993e-05,0.09529585452539024,0.0952595248466558
A07,A,S0,0.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,3.023717930490577e-06,3.023717930490577e-06
A07,A,S0,0.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.5,-9.898968015384368e-06,0.5162736781266546,0.5162637791586391
A07,A,S0,0.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A07,A,S0,0.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,-9.898968015384368e-06,0.5162736781266546,0.5162637791586391
A07,A,S0,-10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2,True,0.0,1.0,0.0,1.1606666872362247e-05,1.1606666872362247e-05
A07,A,S0,-10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ,True,0.0,0.625,-3.55012441055208e-05,0.936409544181126,0.9363740429370204
A07,A,S0,-10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+Doppler,False,,,,,
A07,A,S0,-10.0,50.0,,,55.0,,,5.0,0.3999999999999994,0.0,0.0,600.0,0.0,RC2+CZ+Doppler,True,0.0,0.625,-3.55012441055208e-05,0.936409544181126,0.9363740429370204
A08,A,S0,noiseless,50.0,2.0,0.0,45.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A08,A,S0,noiseless,50.0,2.0,0.0,45.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ,True,1.0,1.0,0.000930750438488553,1.9524266245406375e-21,0.000930750438488553
A08,A,S0,noiseless,50.0,2.0,0.0,45.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A08,A,S0,noiseless,50.0,2.0,0.0,45.0,2.3999999999999995,0.0,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,1.0,1.0,0.000930750438488553,1.9524266245406375e-21,0.000930750438488553
A08,A,S0,20.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,7.501271314992772e-07,7.501271314992772e-07
A08,A,S0,20.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,1.0,0.0009136508866143971,0.01037489080128006,0.01128854168789446
A08,A,S0,20.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A08,A,S0,20.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,0.0009136508866143971,0.01037489080128006,0.01128854168789446
A08,A,S0,10.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,7.307645244796743e-07,7.307645244796743e-07
A08,A,S0,10.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,1.0,0.0009490839332220551,0.09509674556784387,0.09604582950106594
A08,A,S0,10.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A08,A,S0,10.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,0.0009490839332220551,0.09509674556784387,0.09604582950106594
A08,A,S0,0.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,3.229101179094774e-06,3.229101179094774e-06
A08,A,S0,0.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,0.625,0.0006784692311532364,0.505940478648591,0.5066189478797443
A08,A,S0,0.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A08,A,S0,0.0,50.0,,,45.0,,,5.0,0.3999999999999994,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,0.625,0.0006784692311532364,0.505940478648591,0.5066189478797443
