scenario_base,turn_deg,T_s,psi_deg,n_obs,fim_min,fim_max,sv_min,sv_max,cond,rank_tol,crlb_r_km,crlb_v,crlb_psi_deg,crlb_theta_deg,geom_sv_min,geom_cond,mean_v_los,mean_v_cross,bearing_span_rad,bearing_span_deg,crlb_r_note
LIN,0.0,120.0,-10.0,13,1.4574307565608238e-25,4267981.4605518775,4.317498749768717e-21,2065.9093543889767,4.784968043128315e+23,3,,2765.2676939876387,13900.395590451022,0.0718655641655313,1.1602978395481085e-23,3.107557305793208e+23,-0.0302397452974209,-0.3473089769877763,0.0008335718461293,0.0477601487041398,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,-5.0,13,0.0,4267750.1316823205,1.5941763161606179e-21,2065.8533664523043,1.2958750832703774e+24,3,,5573.187085503105,13901.153076545124,0.0718664811905149,1.7395180946399787e-24,2.0727547025294984e+24,-0.0075741417317203,-0.1743130721577052,0.0004183551822275,0.0239699862790637,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,-3.0,13,3.2304537022102527e-26,4267700.67359212,1.0176884176040964e-21,2065.8413960399084,2.0299350570417585e+24,3,,9303.783620716267,13901.315045373907,0.071866677268138,1.6922750908965998e-24,2.130607155943513e+24,-0.0027277829498696,-0.1046722556187591,0.0002512142372274,0.0143935155467284,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,0.0,13,0.0,4267672.836724278,0.0,2065.834658612416,inf,2,,0.0,18.53123291652753,0.0524142418360959,0.0,inf,0.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,3.0,13,3.2304537022102527e-26,4267700.67359212,7.281420294602652e-22,2065.8413960399084,2.8371407121921146e+24,3,,9303.783620716267,13901.315045373907,0.071866677268138,1.4545985395963747e-24,2.478741261138442e+24,-0.0027277829498696,0.1046722556187591,0.0002512142372274,0.0143935155467284,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,5.0,13,0.0,4267750.1316823205,1.673051620081839e-21,2065.8533664523047,1.2347816060518514e+24,3,,5573.187085503105,13901.153076545124,0.0718664811905149,1.8430198042426056e-24,1.9563513655686945e+24,-0.0075741417317203,0.1743130721577052,0.0004183551822275,0.0239699862790637,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,10.0,13,1.4574307565608238e-25,4267981.4605518775,4.691938583645497e-21,2065.9093543889767,4.403103999677307e+23,3,,2765.2676939876387,13900.395590451022,0.0718655641655313,1.0918721007417757e-23,3.302302555156628e+23,-0.0302397452974209,0.3473089769877763,0.0008335718461293,0.0477601487041398,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,120.0,15.0,13,6.251402047925863e-25,4268365.158605279,4.264654626093735e-21,2066.0022165054133,4.844477214788656e+23,3,,1819.724556459264,13899.139475401596,0.0718640433958414,4.9132428423110814e-24,7.339051251649318e+23,-0.0678267537352143,0.5176802876764716,0.0012425340010838,0.0711919541636055,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,-15.0,31,4.7277839882140194e-24,10181144.438058397,5.092082271725228e-20,3190.790566310863,6.266180309042423e+22,3,,204.69469545361144,1551.7680984664084,0.050577131157413,3.4608329905504424e-23,1.6091444249334203e+23,-0.0673441675478632,-0.5177431012221824,0.0031070890045511,0.1780230865322841,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,-10.0,31,0.0,10178883.668501657,1.272427771273393e-20,3190.436281843229,2.507361403036946e+23,3,,311.0529855521994,1552.1171272469956,0.0505804446901335,2.1031196760058186e-23,2.6476675734879146e+23,-0.030022583027805,-0.3473277608887907,0.0020841550708814,0.1194132894122969,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,-5.0,31,0.0,10177521.206143592,6.738865983698806e-21,3190.222751806461,4.734064692076608e+23,3,,626.9020332184905,1552.3275926616225,0.0505824425243524,2.465829602613817e-23,2.258059146991954e+23,-0.0075194461283755,-0.1743154331542744,0.001045916291926,0.0599265892513376,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,-3.0,31,1.5507921930595978e-25,10177229.964484164,5.430751501260121e-21,3190.17710550436,5.874282969427215e+23,3,,1046.5392469809717,1552.3725937591462,0.0505828696713364,7.163417960456001e-24,7.772699362253775e+23,-0.0027080613168492,-0.104672766195004,0.0006280417208547,0.0359841399631083,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,0.0,31,0.0,10177066.05091438,0.0,3190.15141504512,inf,2,,0.0,5.020120805640615,0.0350690562986433,0.0,inf,0.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,3.0,31,1.5507921930595978e-25,10177229.964484164,5.454694348315917e-21,3190.17710550436,5.848498379179203e+23,3,,1046.5392469809717,1552.3725937591462,0.0505828696713364,7.101026420180644e-24,7.840992402810573e+23,-0.0027080613168492,0.104672766195004,0.0006280417208547,0.0359841399631083,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,300.0,5.0,31,0.0,10177521.206143592,6.635988911654821e-21,3190.222751806461,4.807456423267159e+23,3,,626.9020332184905,1552.3275926616225,0.0505824425243524,2.4733806509727025e-23,2.251165459273708e+23,-0.0075194461283755,0.1743154331542744,0.001045916291926,0.0599265892513376,UNDEFINED/UNBOUNDED (FIM rank-deficient)
