kind,ref_name,turn_deg,T_s,sigma_test_deg,ref_r0_km,ref_theta0_deg,ref_v,ref_psi_deg,alt_r0_km,alt_theta0_deg,alt_v,alt_psi_deg,rmse_bearing_deg,delta_r_km,delta_v,delta_psi_deg,delta_theta0_deg,grid_alt_in_accept_rate,rank,note
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,53.0,0.0,2.9999999999999996,7.0,0.0002986690100183886,3.0,0.9999999999999996,2.9999999999999996,0.0,0.9999955398510693,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,600.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,2.3999999999999995,9.0,0.00035530114497515664,4.0,0.39999999999999947,0.9999999999999998,0.0,0.9999936880747392,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,600.0,0.1,50.0,0.0,2.0,5.0,49.0,0.0,1.4,7.0,0.0003639320308978166,1.0,0.6000000000000001,2.0000000000000004,0.0,0.9999933776957719,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,47.0,0.0,1.2,8.0,0.0003696116009562415,3.0,0.8,3.0000000000000004,0.0,0.9999931693865507,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,47.0,0.0,1.5999999999999999,6.000000000000001,0.00037242668744085926,3.0,0.40000000000000013,1.0000000000000007,0.0,0.9999930649421717,3.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,1.5999999999999999,13.0,0.0003784168614445661,2.0,0.40000000000000013,3.000000000000001,0.0,0.9999928400595812,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,600.0,0.1,50.0,0.0,2.0,5.0,50.0,0.0,1.0,10.0,0.0004021454124897259,0.0,1.0,5.0,0.0,0.9999919139860527,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,1200.0,0.1,50.0,0.0,2.0,5.0,54.0,0.0,1.7999999999999998,6.000000000000001,0.0004104672716224209,4.0,0.20000000000000018,1.0000000000000007,0.0,0.9999915758664295,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,1200.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,1.7999999999999998,12.000000000000002,0.0004200242558603534,4.0,0.20000000000000018,2.0000000000000013,0.0,0.9999911790201296,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,300.0,0.1,50.0,0.0,2.0,0.0,52.0,0.0,1.0,0.0,0.0004234395894970851,2.0,1.0,0.0,0.0,0.9999910349858883,4.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,1200.0,0.1,50.0,0.0,2.0,5.0,49.0,0.0,1.4,7.0,0.00042889632028872014,1.0,0.6000000000000001,2.0000000000000004,0.0,0.9999908024396199,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,52.0,0.0,2.5999999999999996,4.0,0.00044528659716138363,2.0,0.5999999999999996,0.9999999999999998,0.0,0.999990086041463,4.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,2.5999999999999996,8.0,0.000451099482840525,2.0,0.5999999999999996,1.9999999999999996,0.0,0.9999898255145895,2.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,1200.0,0.1,50.0,0.0,2.0,10.0,60.0,0.0,1.5999999999999999,14.999999999999998,0.00045217289394806285,10.0,0.40000000000000013,4.999999999999999,0.0,0.9999897770359538,1.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,600.0,0.1,50.0,0.0,2.0,10.0,60.0,0.0,1.5999999999999999,14.999999999999998,0.00045648816855101316,10.0,0.40000000000000013,4.999999999999999,0.0,0.999989580981877,3.0,"RC2-hard: bearings close, kinematics far"
dedicated,RS2,5.0,120.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0004663205655532776,4.0,0.5,0.0,0.0,0.9999891273156152,,near-slow vs LIN
search,LIN,15.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.5999999999999996,0.0,0.0004680759459267966,0.0,0.5999999999999996,0.0,0.0,0.9999890453054453,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,1200.0,0.1,50.0,0.0,2.0,5.0,55.0,0.0,2.1999999999999997,5.0,0.00046910254845043816,5.0,0.19999999999999973,0.0,0.0,0.9999889972004831,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.4,0.0,0.0004741916752275429,0.0,0.6000000000000001,0.0,0.0,0.9999887571759583,1.0,"RC2-hard: bearings close, kinematics far"
dedicated,RS1,5.0,120.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0004851612473998964,5.0,0.5,0.0,0.0,0.9999882309974564,,far-fast vs LIN
search,CR10,0.0,600.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,2.5999999999999996,8.0,0.0005119378544061856,2.0,0.5999999999999996,1.9999999999999996,0.0,0.9999868960675186,4.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,1200.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,2.5999999999999996,8.0,0.0005251105947383775,2.0,0.5999999999999996,1.9999999999999996,0.0,0.9999862130382057,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,1200.0,0.1,50.0,0.0,2.0,0.0,51.0,0.0,1.2,0.0,0.0005325280267324592,1.0,0.8,0.0,0.0,0.9999858207955631,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,1200.0,0.1,50.0,0.0,2.0,0.0,49.0,0.0,2.8,0.0,0.0005381094536267565,1.0,0.7999999999999998,0.0,0.0,0.9999855220156029,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,1200.0,0.1,50.0,0.0,2.0,0.0,51.0,0.0,1.5999999999999999,0.0,0.0005659592818248112,1.0,0.40000000000000013,0.0,0.0,0.9999839846328131,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,1200.0,0.1,50.0,0.0,2.0,5.0,45.0,0.0,1.7999999999999998,5.0,0.0005780216184088236,5.0,0.20000000000000018,0.0,0.0,0.9999832946899678,2.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,600.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,2.5999999999999996,8.0,0.0006014572126995688,2.0,0.5999999999999996,1.9999999999999996,0.0,0.9999819126246431,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,56.0,0.0,2.1999999999999997,10.0,0.0006203368270467824,6.0,0.19999999999999973,0.0,0.0,0.9999807592961552,3.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,300.0,0.1,50.0,0.0,2.0,5.0,52.0,0.0,1.0,10.0,0.0006389765986645991,2.0,1.0,5.0,0.0,0.9999795856536936,1.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,57.0,0.0,2.8,8.0,0.0006868628486975351,7.0,0.7999999999999998,1.9999999999999996,0.0,0.9999764112495729,4.0,"RC2-hard: bearings close, kinematics far"
search,CR10,15.0,300.0,0.1,50.0,0.0,2.0,10.0,48.0,0.0,2.8,7.0,0.0007100229996960467,2.0,0.7999999999999998,2.9999999999999996,0.0,0.9999747936846797,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,600.0,0.1,50.0,0.0,2.0,0.0,52.0,0.0,1.0,0.0,0.0007113178463823818,2.0,1.0,0.0,0.0,0.9999747016660792,4.0,"RC2-hard: bearings close, kinematics far"
dedicated,RS2,15.0,60.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0007349224564629235,4.0,0.5,0.0,0.0,0.999972994813796,,near-slow vs LIN
search,CR5,5.0,600.0,0.1,50.0,0.0,2.0,5.0,47.0,0.0,1.5999999999999999,6.000000000000001,0.0007564080084541316,3.0,0.40000000000000013,1.0000000000000007,0.0,0.9999713927554323,2.0,"RC2-hard: bearings close, kinematics far"
search,CR10,15.0,300.0,0.1,50.0,0.0,2.0,10.0,48.0,0.0,1.4,14.0,0.000760318678972717,2.0,0.6000000000000001,4.000000000000001,0.0,0.9999710961930434,1.0,"RC2-hard: bearings close, kinematics far"
dedicated,RS1,15.0,60.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0007664170317655011,5.0,0.5,0.0,0.0,0.999970630677958,,far-fast vs LIN
search,CR5,5.0,600.0,0.1,50.0,0.0,2.0,5.0,52.0,0.0,2.5999999999999996,4.0,0.0007708441033271415,2.0,0.5999999999999996,0.9999999999999998,0.0,0.9999702904097569,3.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,600.0,0.1,50.0,0.0,2.0,5.0,47.0,0.0,1.2,8.0,0.0007720230610841023,3.0,0.8,3.0000000000000004,0.0,0.9999701994637025,4.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,1200.0,0.1,50.0,0.0,2.0,5.0,56.0,0.0,1.5999999999999999,7.0,0.0007758942940818735,6.0,0.40000000000000013,2.0000000000000004,0.0,0.999969899855239,3.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.9999999999999996,0.0,0.0007767879292940479,0.0,0.9999999999999996,0.0,0.0,0.9999698304807543,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,300.0,0.1,50.0,0.0,2.0,5.0,48.0,0.0,1.0,10.0,0.000791931608772805,2.0,1.0,5.0,0.0,0.9999686427080015,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,0.0007937773899814387,0.0,1.0,0.0,0.0,0.9999684963690075,3.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,300.0,0.1,50.0,0.0,2.0,5.0,51.0,0.0,1.4,7.0,0.0008227391092738506,1.0,0.6000000000000001,2.0000000000000004,0.0,0.9999661555906385,3.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,300.0,0.1,50.0,0.0,2.0,5.0,49.0,0.0,1.4,7.0,0.0008304226401653044,1.0,0.6000000000000001,2.0000000000000004,0.0,0.9999655205063664,4.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,600.0,0.1,50.0,0.0,2.0,10.0,53.0,0.0,1.4,14.999999999999998,0.0008314600510513869,3.0,0.6000000000000001,4.999999999999999,0.0,0.9999654343065826,1.0,"RC2-hard: bearings close, kinematics far"
