r_km,z_m,J
51.0,167.5,8.777693683015286e-08
51.25,167.5,9.249957932944142e-08
51.5,167.5,9.605375872467903e-08
51.75,167.5,9.843516735053015e-08
52.0,167.5,9.994081584530079e-08
52.25,167.5,1.0080166412684832e-07
52.5,167.5,1.009212688973804e-07
52.75,167.5,9.997191408039896e-08
53.0,167.5,9.774389653216531e-08
53.25,167.5,9.43971576461422e-08
53.5,167.5,9.037676163003994e-08
53.75,167.5,8.611862623020272e-08
54.0,167.5,8.184512789721765e-08
54.25,167.5,7.758903519672344e-08
54.5,167.5,7.335025564714215e-08
54.75,167.5,6.920386375064425e-08
55.0,167.5,6.527473561668273e-08
55.25,167.5,6.164688914900296e-08
55.5,167.5,5.831818672419331e-08
55.75,167.5,5.5235702678402276e-08
56.0,167.5,5.2361885716223355e-08
56.25,167.5,4.970298284057151e-08
56.5,167.5,4.728251368213421e-08
56.75,167.5,4.5100543522025305e-08
57.0,167.5,4.3123295934144323e-08
57.25,167.5,4.130797148782506e-08
57.5,167.5,3.963236383519586e-08
57.75,167.5,3.809907767049481e-08
58.0,167.5,3.671477266653511e-08
58.25,167.5,3.546990701153163e-08
58.5,167.5,3.4339099119762295e-08
58.75,167.5,3.329843778487884e-08
59.0,167.5,3.2339823041738214e-08
59.25,167.5,3.1468055827765795e-08
59.5,167.5,3.06860673537912e-08
59.75,167.5,2.998493331407559e-08
60.0,167.5,2.9347970276205615e-08
45.0,170.0,1.5740377445894183e-08
45.25,170.0,1.655845072168205e-08
45.5,170.0,1.744511579637731e-08
45.75,170.0,1.8407291801914027e-08
46.0,170.0,1.948851835464893e-08
46.25,170.0,2.0734665096000526e-08
46.5,170.0,2.215703243102496e-08
46.75,170.0,2.3733125131819577e-08
47.0,170.0,2.54484808781541e-08
47.25,170.0,2.7338043273594792e-08
47.5,170.0,2.947577448786376e-08
47.75,170.0,3.1918389153950955e-08
48.0,170.0,3.466449338684896e-08
48.25,170.0,3.767689449318823e-08
48.5,170.0,4.095353078881203e-08
48.75,170.0,4.4568904122854747e-08
49.0,170.0,4.862258173865541e-08
49.25,170.0,5.313717466037815e-08
49.5,170.0,5.80153824980556e-08
49.75,170.0,6.311641698175663e-08
50.0,170.0,6.838481902970983e-08
50.25,170.0,7.3868648642339e-08
50.5,170.0,7.955546943438918e-08
50.75,170.0,8.517577110289665e-08
51.0,170.0,9.020700275641502e-08
51.25,170.0,9.415191493111763e-08
51.5,170.0,9.686962387789322e-08
51.75,170.0,9.860598071398385e-08
52.0,170.0,9.966406211425749e-08
52.25,170.0,1.0005599659912434e-07
52.5,170.0,9.948254220404351e-08
52.75,170.0,9.764902220155136e-08
53.0,170.0,9.459735661465629e-08
53.25,170.0,9.072516959918175e-08
53.5,170.0,8.65112333992002e-08
53.75,170.0,8.224995484695796e-08
54.0,170.0,7.80109110642968e-08
54.25,170.0,7.378297528504163e-08
54.5,170.0,6.961690390827613e-08
54.75,170.0,6.56352103778346e-08
55.0,170.0,6.194314883245511e-08
55.25,170.0,5.8560676530206024e-08
55.5,170.0,5.54394288254656e-08
55.75,170.0,5.253101986735231e-08
56.0,170.0,4.983144563652786e-08
56.25,170.0,4.7365454447501065e-08
56.5,170.0,4.514227480711952e-08
56.75,170.0,4.313453239035425e-08
57.0,170.0,4.129721675738551e-08
57.25,170.0,3.960104244526974e-08
57.5,170.0,3.804453219125037e-08
57.75,170.0,3.6636505384990414e-08
58.0,170.0,3.537218185023505e-08
58.25,170.0,3.422804650821121e-08
58.5,170.0,3.3177525615712966e-08
58.75,170.0,3.220854649654825e-08
59.0,170.0,3.132468373578945e-08
59.25,170.0,3.053097619165612e-08
59.5,170.0,2.982110280935757e-08
59.75,170.0,2.9178626403947305e-08
60.0,170.0,2.8589130840472876e-08
45.0,172.5,1.5866209013282173e-08
45.25,172.5,1.6709047589991144e-08
45.5,172.5,1.761867074456802e-08
45.75,172.5,1.8625835873642416e-08
