r_km,z_m,J_amp,J_coh
57.25,162.5,0.08774144641514225,0.9542033099035302
57.5,162.5,0.09335563274363767,0.7904411362195298
57.75,162.5,0.0989997775222391,0.9000342829785657
58.0,162.5,0.10466237734712736,0.8516424278925334
58.25,162.5,0.11033268132116103,0.7434959009400981
58.5,162.5,0.11599801611899863,0.9386906119020282
58.75,162.5,0.12164276273237795,0.8225247284410504
59.0,162.5,0.1272495130261445,0.9016233203176238
59.25,162.5,0.13280179228363698,0.9117412211416208
59.5,162.5,0.13828676818815744,0.7805469543626161
59.75,162.5,0.14369614753574522,0.881226315401658
60.0,162.5,0.14902456963307809,0.9058184415356799
45.0,165.0,0.11413700070899224,0.9768943556673637
45.25,165.0,0.10820745803559662,0.21270687456341075
45.5,165.0,0.10219009845844251,0.9339391397691699
45.75,165.0,0.09610744871091903,0.927141283472027
46.0,165.0,0.08999994898353314,0.872764203505358
46.25,165.0,0.08391642778158481,0.9543021577011812
46.5,165.0,0.07790127806804159,0.9608236079888701
46.75,165.0,0.07198669221066545,0.9219973609134745
47.0,165.0,0.06619257152895963,0.9436454788110601
47.25,165.0,0.06053288961576331,0.5091047509941697
47.5,165.0,0.055025075153694036,0.8989407794050641
47.75,165.0,0.04969674134331259,0.9177775429049284
48.0,165.0,0.044584962909860915,0.5336812435993105
48.25,165.0,0.039729033579648965,0.9615408885107294
48.5,165.0,0.03516231544442139,0.9135124191526269
48.75,165.0,0.030907803079451512,0.8686949768516399
49.0,165.0,0.026978601577471673,0.9179549191415405
49.25,165.0,0.023382245885047892,0.9364281131152132
49.5,165.0,0.020126399749707535,0.8732441209151802
49.75,165.0,0.01722262073288494,0.933238432145776
50.0,165.0,0.014686060155476244,0.033019702420111874
50.25,165.0,0.012532050600645883,0.9500357248220775
50.5,165.0,0.010772401969146084,0.8941518947450093
50.75,165.0,0.009413460209936608,0.8984761220098162
51.0,165.0,0.008456370178791972,0.906044287172315
51.25,165.0,0.007898937438730935,0.8205312918872667
51.5,165.0,0.007737879656937285,0.8542871188452288
51.75,165.0,0.007970088267747366,0.9576653987521829
52.0,165.0,0.008592260614595282,0.583054532362801
52.25,165.0,0.009599515627050859,0.9120852016651005
52.5,165.0,0.01098417056055545,0.8911288120559484
52.75,165.0,0.01273546122846303,0.5305780437134915
53.0,165.0,0.014840329919209583,0.9103290134681894
53.25,165.0,0.01728486339882951,0.8701765521192304
53.5,165.0,0.020055536942445662,0.832256417878861
