f_hz,z_s_m,mode_id,k_r,adj_delta_k_r,phi_m_zs,phi_m_zr,A_m,A_norm,effective_A0p1,effective_A0p2
235.0,190.0,4,0.9843488030909104,7.786908169049589e-06,0.008739965840357205,0.009027294303960265,7.889824384746388e-05,0.17315188206469317,True,False
235.0,190.0,5,0.9843410161827414,9.270209091583048e-06,0.0015337362833967583,0.002317560752389678,3.5545270149163397e-06,0.007800845905676566,False,False
235.0,190.0,6,0.9843317459736498,1.0753551922704219e-05,-0.011668507289966084,-0.01151590352583367,0.0001343734042417363,0.2948989319569546,True,True
235.0,190.0,7,0.9843209924217271,1.2236943370380615e-05,-0.008003705751945043,-0.009231745194877662,7.388817211673335e-05,0.16215666459024247,True,False
235.0,190.0,8,0.9843087554783567,1.3720390143467931e-05,0.010414771074428432,0.009331753797180889,9.71880795205672e-05,0.21329117180065352,True,True
235.0,190.0,9,0.9842950350882133,1.5203898952043104e-05,0.014552247447783996,0.01567286342252771,0.000228075386739946,0.5005394358714087,True,True
235.0,190.0,10,0.9842798311892612,1.668747650795943e-05,-0.004867918671652157,-0.002690870162928867,1.3098937109113114e-05,0.0287472255767185,False,False
235.0,190.0,11,0.9842631437127533,1.817112952429145e-05,-0.018476740439782393,-0.01872714370885239,0.00034601657348696944,0.7593758492353418,True,True
235.0,190.0,12,0.984244972583229,1.965486471566802e-05,-0.0034087814264117736,-0.00635142407769848,2.1650616427323107e-05,0.04751493568728225,False,False
235.0,190.0,13,0.9842253177185133,2.1138688799160477e-05,0.01815595037335239,0.01688437389983999,0.0003065518546106212,0.6727656787757192,True,True
235.0,190.0,14,0.9842041790297141,2.262260849339448e-05,0.012033968935784095,0.014963020199708665,0.000180064520268804,0.39517369534736113,True,True
235.0,190.0,15,0.9841815564212207,2.410663051910511e-05,-0.013361915139742919,-0.010319468742039678,0.00013788786561836377,0.30261184890074894,True,True
235.0,190.0,16,0.9841574497907016,2.5590761599580958e-05,-0.018614803630517738,-0.02051591598412307,0.000381899747344651,0.8381258794631931,True,True
235.0,190.0,17,0.984131859029102,2.7075008460775152e-05,0.005137380086097997,0.0006447029842475529,3.3120842727213287e-06,0.007268775544450892,False,False
235.0,190.0,18,0.9841047840206413,2.85593778305282e-05,0.021376502076003025,0.021315890413259993,0.0004556591756709052,1.0,True,True
235.0,190.0,19,0.9840762246428107,,0.004598976967741964,0.00966208206299779,4.44356928681596e-05,0.09751958314618202,False,False
235.0,200.0,0,0.9843651183178075,1.8539894379721034e-06,0.0005237540769531433,0.0005237540769531433,2.7431833312503913e-07,0.0006037371155276083,False,False
235.0,200.0,1,0.9843632643283695,3.3371897878442525e-06,-0.0016514066359001366,-0.0016514066359001366,2.727143877095006e-06,0.006002070511399702,False,False
