mode_index,true_k_r,A_signed,A_norm,recovered,peak_k,delta_k,merged_with_modes,status,f_hz,L_m,dr_name
36.0,0.8270940771065636,0.0007022457958856329,0.0007022457958856329,False,,,0,MISSED,201.0,600.0,lam/4
37.0,0.8268932259122842,0.0004965229277211598,0.0004965229277211598,False,,,0,MISSED,201.0,600.0,lam/4
38.0,0.8254572418506371,0.0005672208347945025,0.0005672208347945025,False,,,0,MISSED,201.0,600.0,lam/4
39.0,0.8252478942382505,0.0007257738850984313,0.0007257738850984313,False,,,0,MISSED,201.0,600.0,lam/4
40.0,0.825037514121749,0.0007959135497793575,0.0007959135497793575,False,,,0,MISSED,201.0,600.0,lam/4
41.0,0.8248261075143231,0.0007608675081201356,0.0007608675081201356,False,,,0,MISSED,201.0,600.0,lam/4
42.0,0.8246136802813874,0.0006317643583560517,0.0006317643583560517,False,,,0,MISSED,201.0,600.0,lam/4
43.0,0.8226568084969806,0.0006413607839906245,0.0006413607839906245,False,,,0,MISSED,201.0,600.0,lam/4
44.0,0.8224344687924882,0.0007391757577320709,0.0007391757577320709,False,,,0,MISSED,201.0,600.0,lam/4
45.0,0.8222111646559289,0.000751328950516344,0.000751328950516344,False,,,0,MISSED,201.0,600.0,lam/4
46.0,0.8219869005467152,0.0006763428099012491,0.0006763428099012491,False,,,0,MISSED,201.0,600.0,lam/4
47.0,0.8217616808310869,0.0005329250259595355,0.0005329250259595355,False,,,0,MISSED,201.0,600.0,lam/4
48.0,0.8196923789387129,0.0006019793562610302,0.0006019793562610302,False,,,0,MISSED,201.0,600.0,lam/4
49.0,0.8194578247257326,0.0006980792649687116,0.0006980792649687116,False,,,0,MISSED,201.0,600.0,lam/4
50.0,0.8192223575321285,0.0007218657861522256,0.0007218657861522256,False,,,0,MISSED,201.0,600.0,lam/4
51.0,0.8189859808001706,0.0006692768232094708,0.0006692768232094708,False,,,0,MISSED,201.0,600.0,lam/4
52.0,0.8187486979083888,0.00055236599475846,0.00055236599475846,False,,,0,MISSED,201.0,600.0,lam/4
53.0,0.816326731076038,0.0006059799303515179,0.0006059799303515179,False,,,0,MISSED,201.0,600.0,lam/4
54.0,0.8160796867383048,0.0006802854310057736,0.0006802854310057736,False,,,0,MISSED,201.0,600.0,lam/4
55.0,0.8158317723635109,0.0006893475894188577,0.0006893475894188577,False,,,0,MISSED,201.0,600.0,lam/4
56.0,0.8155829906337554,0.0006321679573002834,0.0006321679573002834,False,,,0,MISSED,201.0,600.0,lam/4
57.0,0.815333344186062,0.0005204787436985227,0.0005204787436985227,False,,,0,MISSED,201.0,600.0,lam/4
58.0,0.8127898700772788,0.0005452779519440214,0.0005452779519440214,False,,,0,MISSED,201.0,600.0,lam/4
59.0,0.8125308738387239,0.0006338461525076623,0.0006338461525076623,False,,,0,MISSED,201.0,600.0,lam/4
