f_hz,mode_id,class,k_r,k2,kr_max_allowed,phi_180,phi_190,phi_200,phi_210,phi_220,A_norm_zs200,effective_0p1,effective_0p2,residual,n_z
235.0,1313,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.30963757784264034,0.09587542961225716,0.9843656981248018,0.01569053179400711,-0.010970982024314176,0.003853629488748182,0.004122207260340048,-0.011210066287415768,0.005640303045814619,False,False,5.289675878068053e-15,4001
235.0,1314,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.30851713887034826,0.09518282497674577,0.9843656981248018,0.015141268906982606,-0.009829219278671709,0.002325581679760327,0.005712830173200461,-0.01248977249494724,0.002054119571219384,False,False,5.9383266898483346e-15,4001
235.0,1315,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.30738496615481925,0.09448551741799939,0.9843656981248018,-0.014472579938157802,0.008591818869375784,-0.000756347068544459,-0.0072679656998618745,0.013651431085152722,0.00021727250995069635,False,False,5.913043650546633e-15,4001
235.0,1316,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3062418576182235,0.09378407535746028,0.9843656981248018,0.013689434999439254,-0.007269982976528888,-0.0008377297736616665,0.008769072823478956,-0.01467879044411473,0.00026654493068751204,False,False,5.272870015140467e-15,4001
235.0,1317,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.30508842915946077,0.09307894960698733,0.9843656981248018,-0.012797588955690132,0.005875409237993539,0.0024403935628098342,-0.010198552273539243,0.015557521545172821,0.002261946178238848,False,False,5.267742183704239e-15,4001
235.0,1318,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3039251510307556,0.09237049742906761,0.9843656981248018,-0.011803498675401458,0.0044202199843613905,0.00403553513263475,-0.011539779722413447,0.01627520521348826,0.006185357280023612,False,False,6.012303551150353e-15,4001
235.0,1319,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3027523810151344,0.09165900421033313,0.9843656981248018,-0.010714306505966708,0.002916933523524496,0.005607239216019692,-0.012777163993364935,0.016821371426121196,0.011941549800299208,False,False,6.2273647273963096e-15,4001
235.0,1320,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.30157039103818656,0.09094470075092474,0.9843656981248018,0.009537834988454726,-0.0013784307388014815,-0.007139851552236296,0.013896233469381545,-0.017187566819010302,0.019361584233228663,False,False,6.0511732485885214e-15,4001
235.0,1321,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.30037938740764114,0.09022777637938975,0.9843656981248018,-0.008282573179853758,-0.00018209611158949041,0.008618068414281456,-0.014883742221791504,0.017367431353545088,0.028208656357047085,False,False,5.949312815855013e-15,4001
235.0,1322,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.29917952586796576,0.0895083886985808,0.9843656981248018,0.006957649271003597,0.0017512132107059594,-0.010027043984213661,0.0157277861668543,-0.017356770978798917,0.038186369046312514,False,False,4.95852246363714e-15,4001
235.0,1323,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.2979709227198825,0.0887866707865382,0.9843656981248018,-0.005572789433361355,-0.0033153306731993127,0.01135250965469035,-0.016417921132426724,0.017153617588151874,0.0489492774230685,False,False,4.959963994092693e-15,4001
235.0,1324,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.29675366304252077,0.08806273652915396,0.9843656981248018,0.004138264453233003,0.004860800101374638,-0.01258089990185823,0.01694527658969942,-0.016758270571753716,0.06011542742661813,False,False,5.2994481991401614e-15,4001
235.0,1325,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.29552780680751745,0.08733668459646135,0.9843656981248018,-0.002664826009461027,-0.006374020893093607,0.013699480312662557,-0.017302660340123153,0.016173316238591647,0.07128049559497146,False,False,5.850747447443455e-15,4001
235.0,1326,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.29429339346241007,0.08660860143562091,0.9843656981248018,0.0011636343263456692,0.00784155247750034,-0.014696474194635158,0.017484650591214193,-0.015403622710063071,0.08203304608246563,False,False,6.15052123946303e-15,4001
235.0,1327,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.2930504453986413,0.08587856354834203,0.9843656981248018,0.0003538212793762211,-0.009250230097022845,0.01556118485261629,-0.017487672688445904,0.014456308824363684,0.09197035205573789,False,False,6.303778589607911e-15,4001
