cluster_id,n_modes,k_min,k_max,k_center,k_span,k_span_over_dkr,E_C,E_C_norm,f_hz,alpha,grid
7,4,0.9368816687526044,0.9377572818639275,0.9373198108058227,0.0008756131113231147,0.3344595717675546,1.3809215827504156e-06,0.018876917544328613,235.0,0.5,4001
8,4,0.9414813822106206,0.9423244437848657,0.941903255914369,0.0008430615742450742,0.3220258004926524,1.441454158373418e-06,0.01970438555775873,235.0,0.5,4001
9,4,0.9456345295449556,0.9464463574566765,0.9460407949455036,0.0008118279117208527,0.3100954202168269,1.5230488262230964e-06,0.020819768093809393,235.0,0.5,4001
10,4,0.9496298770914395,0.9504096213450457,0.9500201110967212,0.0007797442536061627,0.297840365541411,1.607369656924071e-06,0.0219724167223009,235.0,0.5,4001
11,5,0.9532124378607679,0.9542094224435111,0.9537116787066029,0.000996984582743221,0.38082005887198656,1.986653532344747e-06,0.027157150259414092,235.0,0.5,4001
12,5,0.9566489296356423,0.9576031963403456,0.9571268411120109,0.0009542667047033326,0.3645030313957186,2.098399955175967e-06,0.0286847011616581,235.0,0.5,4001
13,5,0.9597042488482264,0.9606171986628987,0.9601615359508712,0.0009129498146723813,0.3487211419198542,2.220248073941191e-06,0.030350340195470213,235.0,0.5,4001
14,5,0.9626231639476512,0.963492809450915,0.9630588417452275,0.0008696455032637385,0.3321801133969512,2.375480263380738e-06,0.03247233269445018,235.0,0.5,4001
15,5,0.9651904319173963,0.9660178690974788,0.9656050562437397,0.0008274371800824909,0.3160577215395533,2.5385089857269802e-06,0.03470090221463812,235.0,0.5,4001
16,4,0.9676284528238099,0.968216740875411,0.9679230815549122,0.0005882880516010491,0.22470948329809673,2.4242101301694004e-06,0.0331384600754732,235.0,0.5,4001
17,5,0.9695548084059127,0.9702968977525234,0.9699269014314515,0.0007420893466106859,0.2834572505494213,2.9220971329152645e-06,0.039944474272533705,235.0,0.5,4001
18,5,0.9713778196708444,0.9720759585423826,0.97172804520379,0.0006981388715382453,0.26666940568778275,3.1664024245282095e-06,0.043284077985755,235.0,0.5,4001
19,5,0.9730873156965841,0.9743626248995669,0.9735383248860199,0.0012753092029827995,0.4871322327007149,3.902116947513904e-06,0.05334114607712693,235.0,0.5,4001
20,6,0.9745155848578065,0.9756789000244503,0.975102874976948,0.001163315166643808,0.44435366194832165,5.976492227650787e-06,0.08169743481087668,235.0,0.5,4001
21,7,0.9762129202113773,0.9774456904308211,0.9767628508018397,0.0012327702194437906,0.4708835378903036,9.629964607293779e-06,0.1316396601497268,235.0,0.5,4001
22,6,0.9775679593524014,0.978181783921907,0.9778745940516681,0.0006138245695056499,0.2344637146273893,2.2364772469233295e-05,0.3057218969367727,235.0,0.5,4001
0,1,0.896706836417571,0.896706836417571,0.896706836417571,0.0,0.0,2.78640166946875e-07,0.0038089544849591755,235.0,1.0,4001
1,2,0.9032707997091434,0.9036295204707298,0.9034501600899365,0.0003587207615863841,0.1370212377507896,5.744355748247401e-07,0.007852417628883907,235.0,1.0,4001
2,2,0.9096318000795669,0.9099792199310087,0.9098055100052878,0.0003474198514418214,0.13270460804452278,5.974000225103205e-07,0.008166336964222514,235.0,1.0,4001
3,3,0.9157888290775728,0.916460292128605,0.9161246663318843,0.0006714630510322728,0.2564799928208443,9.011181184779625e-07,0.012318101645083382,235.0,1.0,4001
4,3,0.9214151555291117,0.9220649506162469,0.9217401598223928,0.000649795087135252,0.24820344027457011,9.462799571849568e-07,0.01293545480696548,235.0,1.0,4001
5,4,0.9268564521470938,0.9277973111327912,0.9273272060118518,0.0009408589856974015,0.35938165998280397,1.2645042049730947e-06,0.017285515636732657,235.0,1.0,4001
6,3,0.9321104392446617,0.9327161131720993,0.9324133859811855,0.0006056739274376,0.23135039868858234,1.0334574978973033e-06,0.014127154081059412,235.0,1.0,4001
7,4,0.9368816687526044,0.9377572818639275,0.9373198108058227,0.0008756131113231147,0.3344595717675546,1.3809215827504156e-06,0.018876917544328613,235.0,1.0,4001
8,4,0.9414813822106206,0.9423244437848657,0.941903255914369,0.0008430615742450742,0.3220258004926524,1.441454158373418e-06,0.01970438555775873,235.0,1.0,4001
9,4,0.9456345295449556,0.9464463574566765,0.9460407949455036,0.0008118279117208527,0.3100954202168269,1.5230488262230964e-06,0.020819768093809393,235.0,1.0,4001
10,4,0.9496298770914395,0.9504096213450457,0.9500201110967212,0.0007797442536061627,0.297840365541411,1.607369656924071e-06,0.0219724167223009,235.0,1.0,4001
11,5,0.9532124378607679,0.9542094224435111,0.9537116787066029,0.000996984582743221,0.38082005887198656,1.986653532344747e-06,0.027157150259414092,235.0,1.0,4001
12,5,0.9566489296356423,0.9576031963403456,0.9571268411120109,0.0009542667047033326,0.3645030313957186,2.098399955175967e-06,0.0286847011616581,235.0,1.0,4001
13,5,0.9597042488482264,0.9606171986628987,0.9601615359508712,0.0009129498146723813,0.3487211419198542,2.220248073941191e-06,0.030350340195470213,235.0,1.0,4001
14,6,0.9626231639476512,0.9651904319173963,0.9634141067739224,0.0025672679697450462,0.9806241303034046,2.71104145248903e-06,0.03705938599059592,235.0,1.0,4001
15,6,0.9653986474222883,0.9678255171845009,0.9663814698849356,0.0024268697622126245,0.9269959653513404,3.380201844644235e-06,0.04620667263194565,235.0,1.0,4001
16,7,0.9680216153359276,0.9702968977525234,0.9694104090526566,0.002275282416595803,0.8690938644751084,4.169053215059119e-06,0.05699011063455364,235.0,1.0,4001
