f_hz,L_m,dr_name,status,recovered_k,pred_k,peak_err
283.0,1200.0,lam/4,OK,0.8854685928146683,0.8855052074731979,3.661465852966561e-05
283.0,1200.0,lam/4,OK,0.8959475110728301,0.8957063441983744,0.00024116687445574492
283.0,1200.0,lam/4,OK,0.9064264293309918,0.9062612827092845,0.00016514662170730166
283.0,1200.0,lam/4,OK,0.9326237249763962,0.9326741206670496,5.03956906533487e-05
283.0,1200.0,lam/4,OK,0.9431026432345581,0.9431361941636106,3.3550929052550416e-05
283.0,1200.0,lam/4,OK,0.9535815614927198,0.9534260744970633,0.00015548699565648416
283.0,1200.0,lam/2,OK,0.5140349891130344,0.5139739951080641,6.0994004970282845e-05
283.0,1200.0,lam/2,OK,0.5402612640677811,0.5402395137748072,2.1750292973909957e-05
283.0,1200.0,lam/2,OK,0.5612422840315783,0.5610949137318538,0.00014737029972444748
283.0,1200.0,lam/2,OK,0.5822233039953756,0.5821655682970964,5.773569827915992e-05
283.0,1200.0,lam/2,OK,0.603204323959173,0.6034310133993698,0.00022668944019677006
283.0,1200.0,lam/2,OK,0.6241853439229703,0.624165256450502,2.008747246828868e-05
283.0,1200.0,lam/2,OK,0.6451663638867676,0.6450893397035109,7.702418325672422e-05
283.0,1200.0,lam/2,OK,0.6609021288596156,0.6607884827991122,0.00011364606050345838
283.0,2400.0,lam/8,OK,1.0342217847422346,1.034310357965637,8.857322340238838e-05
283.0,2400.0,lam/8,OK,1.0420766337402767,1.0421609398207283,8.43060804516238e-05
283.0,2400.0,lam/8,OK,1.049931482738319,1.049862492718698,6.899001962112905e-05
283.0,2400.0,lam/8,OK,1.0577863317363616,1.0577870027459892,6.710096276396627e-07
283.0,2400.0,lam/8,OK,1.0630228977350562,1.0629767560426955,4.614169236072385e-05
283.0,2400.0,lam/8,OK,1.0708777467330985,1.070979506282764,0.00010175954966551437
283.0,2400.0,lam/8,OK,1.0787325957311407,1.0787932108772735,6.061514613286967e-05
283.0,2400.0,lam/8,OK,1.0839691617298357,1.0840106972351884,4.1535505352685576e-05
283.0,2400.0,lam/4,OK,1.0263669357441922,1.0263121408660283,5.479487816395512e-05
283.0,2400.0,lam/4,OK,1.0342217847422346,1.034310357965637,8.857322340238838e-05
