pair_id,mechanism,z_true,eps_db,seed,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind,blind_label
A02,A,220.0,0.0,4,0.0,4.257545811351039,4.257545811351039,True,True,False,
A02,A,220.0,0.25,0,0.24915881933333736,4.263816736423421,4.014657917090084,True,True,False,
A02,A,220.0,0.25,1,0.25305184673474945,4.2710365133948525,4.017984666660103,True,True,False,
A02,A,220.0,0.25,2,0.24570118589492917,4.267159461883527,4.021458275988598,True,True,False,
A02,A,220.0,0.25,3,0.24733646749549823,4.2658363582107715,4.018499890715273,True,True,False,
A02,A,220.0,0.25,4,0.24340891236198176,4.267721527056362,4.02431261469438,True,True,False,
A02,A,220.0,0.5,0,0.4952688502361858,4.263195888658932,3.767927038422746,True,True,False,
A02,A,220.0,0.5,1,0.4990497445496649,4.269447395391277,3.7703976508416117,True,True,False,
A02,A,220.0,0.5,2,0.49395658979089,4.288589341386185,3.794632751595295,True,True,False,
A02,A,220.0,0.5,3,0.49819432914539374,4.2721557203934015,3.7739613912480077,True,True,False,
A02,A,220.0,0.5,4,0.5114576588769069,4.28698533507573,3.7755276761988235,True,True,False,
A02,A,220.0,1.0,0,1.0236720672109165,4.4068906946670605,3.383218627456144,True,True,False,
A02,A,220.0,1.0,1,1.0063730094535954,4.3355631339989875,3.3291901245453923,True,True,False,
A02,A,220.0,1.0,2,1.0149050372819142,4.390971714798057,3.3760666775161425,True,True,False,
A02,A,220.0,1.0,3,0.9860357780915855,4.387576803011909,3.401541024920323,True,True,False,
A02,A,220.0,1.0,4,1.0220460274463417,4.375527622331984,3.3534815948856425,True,True,False,
A02,A,220.0,1.5,0,1.520384446155536,4.557966455126166,3.0375820089706296,True,True,False,
A02,A,220.0,1.5,1,1.4803325105860798,4.4685496015570365,2.9882170909709567,True,True,False,
A02,A,220.0,1.5,2,1.4973991350007025,4.474179222614532,2.976780087613829,True,True,False,
A02,A,220.0,1.5,3,1.4679484785395847,4.507427350175347,3.0394788716357626,True,True,False,
A02,A,220.0,1.5,4,1.4834859784411776,4.48738721221216,3.003901233770982,True,True,False,
A02,A,220.0,2.0,0,1.9916341246848104,4.682176455767826,2.690542331083016,True,True,False,
A02,A,220.0,2.0,1,1.9356878388696537,4.712059726795984,2.776371887926331,True,True,False,
A02,A,220.0,2.0,2,2.003607040948472,4.707557823313828,2.7039507823653564,True,True,False,
A02,A,220.0,2.0,3,1.9979182704890222,4.70775046680838,2.709832196319358,True,True,False,
A02,A,220.0,2.0,4,1.9678174866967284,4.738261180889373,2.770443694192645,True,True,False,
A03,A,180.0,0.0,0,0.0,2.4689694376607245,2.4689694376607245,True,True,False,
A03,A,180.0,0.0,1,0.0,2.4689694376607245,2.4689694376607245,True,True,False,
A03,A,180.0,0.0,2,0.0,2.4689694376607245,2.4689694376607245,True,True,False,
A03,A,180.0,0.0,3,0.0,2.4689694376607245,2.4689694376607245,True,True,False,
A03,A,180.0,0.0,4,0.0,2.4689694376607245,2.4689694376607245,True,True,False,
A03,A,180.0,0.25,0,0.25574760525267726,2.4839012752182867,2.2281536699656095,True,True,False,
A03,A,180.0,0.25,1,0.258561458137974,2.4898069128107574,2.2312454546727833,True,True,False,
A03,A,180.0,0.25,2,0.24894308986789318,2.479327370750514,2.2303842808826206,True,True,False,
A03,A,180.0,0.25,3,0.2453608622534877,2.479611835466987,2.2342509732134994,True,True,False,
A03,A,180.0,0.25,4,0.24587031765449935,2.4754857626883426,2.2296154450338435,True,True,False,
A03,A,180.0,0.5,0,0.5046849769371919,2.5290894465961884,2.0244044696589967,True,True,False,
