pair_id,mechanism,z_true,dJ_201,dJ_235,dJ_283,dJ_338,dJ_min,dJ_max,dJ_range
B07,B,180.0,2.387716895689644,1.9150406122659014,2.5707026637610575,1.8386264938526735,1.8386264938526735,2.5707026637610575,0.732076169908384
B07,B,200.0,2.403417178312463,1.8446481079887525,2.559996744341901,1.8461390122437504,1.8446481079887525,2.559996744341901,0.7153486363531485
B07,B,220.0,2.3981934442468504,1.893003347755817,2.5788903258521056,1.8248075227917733,1.8248075227917733,2.5788903258521056,0.7540828030603324
B08,B,180.0,0.5214777615094449,0.44751551393726763,1.2344037709641653,1.2374217719586538,0.44751551393726763,1.2374217719586538,0.7899062580213861
B08,B,200.0,0.5299103771798209,0.5084083132616584,1.1492990987900378,1.2019131521997646,0.5084083132616584,1.2019131521997646,0.6935048389381062
B08,B,220.0,0.5596317020921683,0.4599770670758831,1.2047043794167813,1.1245007224809715,0.4599770670758831,1.2047043794167813,0.7447273123408982
B09,B,180.0,1.9488697235377548,2.4586631254204794,2.7791905310220746,1.2025794468222635,1.2025794468222635,2.7791905310220746,1.576611084199811
B09,B,200.0,1.9588011376020211,2.10823213839016,2.806451165501219,1.334066661020277,1.334066661020277,2.806451165501219,1.472384504480942
B09,B,220.0,1.9858388772406124,2.1628205561194296,2.8017206608445417,1.2463440882319066,1.2463440882319066,2.8017206608445417,1.5553765726126352
B10,B,180.0,0.8992180649828267,1.0602982718965197,1.2295848340291895,1.8597716091797336,0.8992180649828267,1.8597716091797336,0.9605535441969069
B10,B,200.0,1.1838838858140444,0.937023885896871,1.182983585788722,1.8397909198566766,0.937023885896871,1.8397909198566766,0.9027670339598056
B10,B,220.0,1.1151644895321022,1.0007616519597806,1.0573824173631625,1.729094801025644,1.0007616519597806,1.729094801025644,0.7283331490658633
C01,C,180.0,1.111073658916763,0.8555957267258559,1.2170651733488127,1.261653481626117,0.8555957267258559,1.261653481626117,0.40605775490026097
C01,C,200.0,1.1507598384789814,0.548303388582423,1.158035737307489,1.2283102317771575,0.548303388582423,1.2283102317771575,0.6800068431947345
C01,C,220.0,1.1346841594558874,0.6043114002158639,1.1612535801896766,1.0636360348674632,0.6043114002158639,1.1612535801896766,0.5569421799738127
C02,C,180.0,1.8200536540323855,1.0585085517576214,1.5354942860003367,2.814914774481351,1.0585085517576214,2.814914774481351,1.7564062227237296
C02,C,200.0,1.8072789953171509,1.0075079877829394,1.5358366748287102,2.8239824553487556,1.0075079877829394,2.8239824553487556,1.8164744675658162
