pair_id,mechanism,z_true,n_lines,frequencies,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind
B08,B,220.0,2,201;338,0.0,1.049542423704936,1.049542423704936,True,True,False
B08,B,220.0,2,235;283,0.0,1.0971561411575808,1.0971561411575808,True,True,False
B08,B,220.0,2,235;338,0.0,0.8590927706295631,0.8590927706295631,True,True,False
B08,B,220.0,2,283;338,0.0,1.4333898623247006,1.4333898623247006,True,True,False
B08,B,220.0,3,201;235;283,0.0,0.9770185559417103,0.9770185559417103,True,True,False
B08,B,220.0,3,201;235;338,0.0,0.9620369558164162,0.9620369558164162,True,True,False
B08,B,220.0,3,201;283;338,0.0,1.280053061209429,1.280053061209429,True,True,False
B08,B,220.0,3,235;283;338,0.0,1.2079919642090684,1.2079919642090684,True,True,False
B08,B,220.0,4,201;235;283;338,0.0,1.3351300938542818,1.3351300938542818,True,True,False
B09,B,180.0,1,201,0.0,1.9488697235377548,1.9488697235377548,True,True,False
B09,B,180.0,1,235,0.0,2.4586631254204794,2.4586631254204794,True,True,False
B09,B,180.0,1,283,0.0,2.7791905310220746,2.7791905310220746,True,True,False
B09,B,180.0,1,338,0.0,1.2025794468222635,1.2025794468222635,True,True,False
B09,B,180.0,2,201;235,0.0,2.4397204107021353,2.4397204107021353,True,True,False
B09,B,180.0,2,201;283,0.0,2.801694732339733,2.801694732339733,True,True,False
B09,B,180.0,2,201;338,0.0,1.8296679241634783,1.8296679241634783,True,True,False
B09,B,180.0,2,235;283,0.0,2.835834768851931,2.835834768851931,True,True,False
B09,B,180.0,2,235;338,0.0,3.0971564605442063,3.0971564605442063,True,True,False
B09,B,180.0,2,283;338,0.0,2.885997176022683,2.885997176022683,True,True,False
B09,B,180.0,3,201;235;283,0.0,2.8433348592614114,2.8433348592614114,True,True,False
B09,B,180.0,3,201;235;338,0.0,3.2613600499185753,3.2613600499185753,True,True,False
B09,B,180.0,3,201;283;338,0.0,3.164850011779989,3.164850011779989,True,True,False
B09,B,180.0,3,235;283;338,0.0,3.133398348004855,3.133398348004855,True,True,False
B09,B,180.0,4,201;235;283;338,0.0,3.268953279179714,3.268953279179714,True,True,False
B09,B,200.0,1,201,0.0,1.9588011376020211,1.9588011376020211,True,True,False
B09,B,200.0,1,235,0.0,2.10823213839016,2.10823213839016,True,True,False
B09,B,200.0,1,283,0.0,2.806451165501219,2.806451165501219,True,True,False
B09,B,200.0,1,338,0.0,1.334066661020277,1.334066661020277,True,True,False
B09,B,200.0,2,201;235,0.0,2.116112316782023,2.116112316782023,True,True,False
B09,B,200.0,2,201;283,0.0,3.034569292785401,3.034569292785401,True,True,False
B09,B,200.0,2,201;338,0.0,1.893896478449481,1.893896478449481,True,True,False
B09,B,200.0,2,235;283,0.0,2.7829020217320783,2.7829020217320783,True,True,False
B09,B,200.0,2,235;338,0.0,3.0757817384818504,3.0757817384818504,True,True,False
B09,B,200.0,2,283;338,0.0,3.0305249445142195,3.0305249445142195,True,True,False
B09,B,200.0,3,201;235;283,0.0,2.760547308945174,2.760547308945174,True,True,False
B09,B,200.0,3,201;235;338,0.0,3.0050867572850932,3.0050867572850932,True,True,False
B09,B,200.0,3,201;283;338,0.0,3.00043325625437,3.00043325625437,True,True,False
B09,B,200.0,3,235;283;338,0.0,3.398013852762089,3.398013852762089,True,True,False
B09,B,200.0,4,201;235;283;338,0.0,3.2465874852990897,3.2465874852990897,True,True,False
B09,B,220.0,1,201,0.0,1.9858388772406124,1.9858388772406124,True,True,False
B09,B,220.0,1,235,0.0,2.1628205561194296,2.1628205561194296,True,True,False
B09,B,220.0,1,283,0.0,2.8017206608445417,2.8017206608445417,True,True,False
B09,B,220.0,1,338,0.0,1.2463440882319066,1.2463440882319066,True,True,False
B09,B,220.0,2,201;235,0.0,2.224837114883793,2.224837114883793,True,True,False
B09,B,220.0,2,201;283,0.0,2.930220210955,2.930220210955,True,True,False
B09,B,220.0,2,201;338,0.0,1.982674343301746,1.982674343301746,True,True,False
B09,B,220.0,2,235;283,0.0,2.870534249024171,2.870534249024171,True,True,False
B09,B,220.0,2,235;338,0.0,2.9963305909225393,2.9963305909225393,True,True,False
B09,B,220.0,2,283;338,0.0,3.0117164630468385,3.0117164630468385,True,True,False
B09,B,220.0,3,201;235;283,0.0,2.820078006081312,2.820078006081312,True,True,False
B09,B,220.0,3,201;235;338,0.0,3.13717410239497,3.13717410239497,True,True,False
B09,B,220.0,3,201;283;338,0.0,3.1416346384586253,3.1416346384586253,True,True,False
B09,B,220.0,3,235;283;338,0.0,3.1348349416122008,3.1348349416122008,True,True,False
B09,B,220.0,4,201;235;283;338,0.0,3.214332163835974,3.214332163835974,True,True,False
B10,B,180.0,1,201,0.0,0.8992180649828267,0.8992180649828267,True,True,False
B10,B,180.0,1,235,0.0,1.0602982718965197,1.0602982718965197,True,True,False
B10,B,180.0,1,283,0.0,1.2295848340291895,1.2295848340291895,True,True,False
B10,B,180.0,1,338,0.0,1.8597716091797336,1.8597716091797336,True,True,False
B10,B,180.0,2,201;235,0.0,1.4768042912902675,1.4768042912902675,True,True,False
B10,B,180.0,2,201;283,0.0,1.5503836077454203,1.5503836077454203,True,True,False
B10,B,180.0,2,201;338,0.0,1.6897992367268553,1.6897992367268553,True,True,False
B10,B,180.0,2,235;283,0.0,1.5934155927610132,1.5934155927610132,True,True,False
B10,B,180.0,2,235;338,0.0,1.527248606893829,1.527248606893829,True,True,False
B10,B,180.0,2,283;338,0.0,1.7935281719427267,1.7935281719427267,True,True,False
B10,B,180.0,3,201;235;283,0.0,1.6557007243561939,1.6557007243561939,True,True,False
B10,B,180.0,3,201;235;338,0.0,1.6145848039932407,1.6145848039932407,True,True,False
B10,B,180.0,3,201;283;338,0.0,1.7863347723984533,1.7863347723984533,True,True,False
B10,B,180.0,3,235;283;338,0.0,1.6949622111460574,1.6949622111460574,True,True,False
B10,B,180.0,4,201;235;283;338,0.0,1.7090044692899322,1.7090044692899322,True,True,False
B10,B,200.0,1,201,0.0,1.1838838858140444,1.1838838858140444,True,True,False
B10,B,200.0,1,235,0.0,0.937023885896871,0.937023885896871,True,True,False
B10,B,200.0,1,283,0.0,1.182983585788722,1.182983585788722,True,True,False
B10,B,200.0,1,338,0.0,1.8397909198566766,1.8397909198566766,True,True,False
