aperture_tag,aperture_m,note,f_hz,theta_rel_deg,phi1_deg,phi2_deg,delta_u,steering_corr,bartlett_dual_peak,crb_sigma_u,L_required_lambda_over_du_m,resolved_corr_lt_0p95,resolved_sigma_u_lt_du,is_pm_mirror
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,5.0,20.0,3.4597544058884955e-18,0.9999999999999998,False,0.010442367873665304,2.167783929181509e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,10.0,15.0,1.156184556161389e-18,0.9999999999999998,False,0.010442367873665304,6.486853642899805e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,10.0,20.0,2.7625051137023676e-18,0.9999999999999998,False,0.010442367873665304,2.714927101057323e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-20.0,2.0,0.059698206233187334,0.941924752068404,False,0.0069615785824435365,83.75461032228482,True,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-20.0,5.0,0.05650207730583712,0.9478825035760428,False,0.0069615785824435365,88.49232167050715,True,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-20.0,10.0,0.04511513222629959,0.9665844905164508,False,0.0069615785824435365,110.82755947427503,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-15.0,2.0,0.03346500073002745,0.9815319035393482,True,0.0069615785824435365,149.40982790756684,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-15.0,5.0,0.030268871802677233,0.9848760994497044,True,0.0069615785824435365,165.1862029280443,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-15.0,10.0,0.018881926723139708,0.9940987000056303,False,0.0069615785824435365,264.8034850104849,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-10.0,2.0,0.014583074006887742,0.9964774475277711,False,0.0069615785824435365,342.86323978322037,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-10.0,5.0,0.011386945079537525,0.9978514310697884,False,0.0069615785824435365,439.09933393681325,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-10.0,10.0,0.0,0.9999999999999998,False,0.0069615785824435365,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-5.0,2.0,0.003196128927350217,0.9998306301878822,False,0.0069615785824435365,1564.3924615222893,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-5.0,5.0,0.0,1.0000000000000002,False,0.0069615785824435365,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-5.0,10.0,0.011386945079537525,0.9978514310697884,False,0.0069615785824435365,439.09933393681325,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-2.0,2.0,0.0,0.9999999999999998,False,0.0069615785824435365,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-2.0,5.0,0.003196128927350217,0.9998306301878822,False,0.0069615785824435365,1564.3924615222893,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-2.0,10.0,0.014583074006887742,0.9964774475277711,False,0.0069615785824435365,342.86323978322037,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-1.0,2.0,0.00045686813729550746,0.999996539089829,False,0.0069615785824435365,10944.076839322117,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-1.0,5.0,0.0036529970646457244,0.9997787519479368,False,0.0069615785824435365,1368.739123387418,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,-1.0,10.0,0.01503994214418325,0.9962535234176293,False,0.0069615785824435365,332.4480873707196,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,1.0,2.0,0.00045686813729550746,0.999996539089829,False,0.0069615785824435365,10944.076839322117,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,1.0,5.0,0.0036529970646457244,0.9997787519479368,False,0.0069615785824435365,1368.739123387418,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,1.0,10.0,0.01503994214418325,0.9962535234176293,False,0.0069615785824435365,332.4480873707196,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,2.0,5.0,0.003196128927350217,0.9998306301878822,False,0.0069615785824435365,1564.3924615222893,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,2.0,10.0,0.014583074006887742,0.9964774475277711,False,0.0069615785824435365,342.86323978322037,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,2.0,15.0,0.03346500073002745,0.9815319035393482,True,0.0069615785824435365,149.40982790756684,False,True,False
