case,peak_id,k_peak,g_re,g_im,abs_g,prominence
zs50.0_zr18.0,12,1.429524901158604,0.22999599904043866,2.5460216571524885,2.556388945028536,1.788201101475697
zs50.0_zr18.0,13,1.4308627537415473,-0.7080204647125959,2.0575424992351836,2.175953610399543,1.7502013957874742
zs50.0_zr18.0,14,1.4321219091137292,-0.6302391990316345,2.161035295978091,2.2510608606741735,1.772990656743587
zs50.0_zr18.0,15,1.4334597616966724,-2.063191315730252,1.7376131141910487,2.697416864319166,1.876939412906919
zs50.0_zr18.0,16,1.4349550087011385,-0.8338332975375919,-5.557054388501579,5.619264315268242,4.7987868638559945
zs50.0_zr18.0,17,1.4372372278132182,-0.6724106519647912,2.176973812548655,2.278453656627306,1.9064723552174556
zs50.0_zr18.0,18,1.4384963831854,-1.325021410198792,2.9428399125323286,3.2273810571852963,2.707877093559799
zs50.0_zr18.0,19,1.439755538557582,-2.1321396121755343,4.161674035753621,4.676061388142148,3.6173262035071856
zs50.0_zr18.0,20,1.4410933911405253,-6.937329545119518,3.8594258910086143,7.9386213806791295,5.498777756795258
zs50.0_zr18.0,21,1.4428247297772754,35.147428859503535,-3.1767011763900617,35.29069545642222,31.78786513034506
zs50.0_zr18.0,22,1.4446347656247869,-5.024964492359146,-5.581728198870486,7.510389992239828,4.007559666162669
zs50.0_zr18.0,23,1.4458939209969688,-3.0336424561498454,-3.015940084855367,4.277719152444707,2.053192673297709
zs50.0_zr18.0,24,1.4489631122166622,3.9621360301569046,-0.3564016131050693,3.97813323448215,1.3272608861836455
zs50.0_zr18.0,25,1.4506944508534123,-19.788656292848593,-2.0936878773458334,19.89910668357354,17.248234335275036
zs50.0_zr18.0,26,1.4524257894901624,4.532090491524311,2.0227622271982093,4.963004256611607,3.8770229959037024
zs50.0_zr18.0,27,1.4536849448623443,2.8049170116941546,1.2866004133373252,3.0859196467327275,2.6735483922215715
zs50.0_zr18.0,28,1.4549441002345262,1.9187199929146599,1.063546587733714,2.1937679356510023,1.8301038743745253
zs50.0_zr18.0,29,1.4584854747187879,-5.8336978965715085,-7.0281389375893575,9.133825489603057,7.652305364063867
