env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,delta_J_gt_0p5,static_blind
E1_shift50m,B08,B,180.0,0.5496945053989084,1.689040859235491,1.1393463538365827,True,True,False
E1_shift50m,B08,B,200.0,0.5496945053989084,1.689040859235491,1.1393463538365827,True,True,False
E1_shift50m,B08,B,220.0,0.5496945053989084,1.689040859235491,1.1393463538365827,True,True,False
E2_shift150m_plus2,B08,B,180.0,0.27296359721905933,1.360040406830659,1.0870768096115997,True,True,False
E2_shift150m_plus2,B08,B,200.0,0.27296359721905933,1.360040406830659,1.0870768096115997,True,True,False
E2_shift150m_plus2,B08,B,220.0,0.27296359721905933,1.360040406830659,1.0870768096115997,True,True,False
E0_nominal,B09,B,180.0,0.0,3.268953279179714,3.268953279179714,True,True,False
E0_nominal,B09,B,200.0,0.0,3.2465874852990897,3.2465874852990897,True,True,False
E0_nominal,B09,B,220.0,0.0,3.214332163835974,3.214332163835974,True,True,False
E1_shift50m,B09,B,180.0,0.814041896005871,3.426625835922658,2.612583939916787,True,True,False
E1_shift50m,B09,B,200.0,0.814041896005871,3.426625835922658,2.612583939916787,True,True,False
E1_shift50m,B09,B,220.0,0.814041896005871,3.426625835922658,2.612583939916787,True,True,False
E2_shift150m_plus2,B09,B,180.0,0.6060383354553138,3.0783150368411447,2.472276701385831,True,True,False
E2_shift150m_plus2,B09,B,200.0,0.6060383354553138,3.0783150368411447,2.472276701385831,True,True,False
E2_shift150m_plus2,B09,B,220.0,0.6060383354553138,3.0783150368411447,2.472276701385831,True,True,False
E0_nominal,B10,B,180.0,0.0,1.7090044692899322,1.7090044692899322,True,True,False
E0_nominal,B10,B,200.0,0.0,1.8171123733022956,1.8171123733022956,True,True,False
E0_nominal,B10,B,220.0,0.0,1.8181650601733776,1.8181650601733776,True,True,False
E1_shift50m,B10,B,180.0,0.5269402004326146,1.6311736445963003,1.1042334441636856,True,True,False
E1_shift50m,B10,B,200.0,0.5269402004326146,1.6311736445963003,1.1042334441636856,True,True,False
E1_shift50m,B10,B,220.0,0.5269402004326146,1.6311736445963003,1.1042334441636856,True,True,False
E2_shift150m_plus2,B10,B,180.0,0.3274679068476131,1.7831852851469032,1.45571737829929,True,True,False
E2_shift150m_plus2,B10,B,200.0,0.3274679068476131,1.7831852851469032,1.45571737829929,True,True,False
E2_shift150m_plus2,B10,B,220.0,0.3274679068476131,1.7831852851469032,1.45571737829929,True,True,False
E0_nominal,C01,C,180.0,0.0,1.342835752570543,1.342835752570543,True,True,False
E0_nominal,C01,C,200.0,0.0,1.3801538215291802,1.3801538215291802,True,True,False
E0_nominal,C01,C,220.0,0.0,1.3988385046176675,1.3988385046176675,True,True,False
E1_shift50m,C01,C,180.0,0.5634325279129582,1.4397301399610796,0.8762976120481214,True,True,False
E1_shift50m,C01,C,200.0,0.5634325279129582,1.4397301399610796,0.8762976120481214,True,True,False
E1_shift50m,C01,C,220.0,0.5634325279129582,1.4397301399610796,0.8762976120481214,True,True,False
E2_shift150m_plus2,C01,C,180.0,0.2951483860090378,1.5180777007781698,1.222929314769132,True,True,False
E2_shift150m_plus2,C01,C,200.0,0.2951483860090378,1.5180777007781698,1.222929314769132,True,True,False
E2_shift150m_plus2,C01,C,220.0,0.2951483860090378,1.5180777007781698,1.222929314769132,True,True,False
E0_nominal,C02,C,180.0,0.0,2.6037058848772974,2.6037058848772974,True,True,False
E0_nominal,C02,C,200.0,0.0,2.6100560168210025,2.6100560168210025,True,True,False
E0_nominal,C02,C,220.0,0.0,2.591102117316226,2.591102117316226,True,True,False
E1_shift50m,C02,C,180.0,0.09768512451211434,2.5558107908169787,2.4581256663048645,True,True,False
E1_shift50m,C02,C,200.0,0.09768512451211434,2.5558107908169787,2.4581256663048645,True,True,False
E1_shift50m,C02,C,220.0,0.09768512451211434,2.5558107908169787,2.4581256663048645,True,True,False
E2_shift150m_plus2,C02,C,180.0,0.05562182651196468,2.5827779117329914,2.527156085221027,True,True,False
E2_shift150m_plus2,C02,C,200.0,0.05562182651196468,2.5827779117329914,2.527156085221027,True,True,False
E2_shift150m_plus2,C02,C,220.0,0.05562182651196468,2.5827779117329914,2.527156085221027,True,True,False
E0_nominal,C03,C,180.0,0.0,2.7125315540709414,2.7125315540709414,True,True,False
E0_nominal,C03,C,200.0,0.0,2.7358677140423975,2.7358677140423975,True,True,False
E0_nominal,C03,C,220.0,0.0,2.7094090474547547,2.7094090474547547,True,True,False
E1_shift50m,C03,C,180.0,0.20378871328045658,2.69464815564065,2.4908594423601933,True,True,False
E1_shift50m,C03,C,200.0,0.20378871328045658,2.69464815564065,2.4908594423601933,True,True,False
E1_shift50m,C03,C,220.0,0.20378871328045658,2.69464815564065,2.4908594423601933,True,True,False
E2_shift150m_plus2,C03,C,180.0,0.10587830226468511,2.7069071922042687,2.6010288899395837,True,True,False
E2_shift150m_plus2,C03,C,200.0,0.10587830226468511,2.7069071922042687,2.6010288899395837,True,True,False
E2_shift150m_plus2,C03,C,220.0,0.10587830226468511,2.7069071922042687,2.6010288899395837,True,True,False
E0_nominal,C04,C,180.0,0.0,2.8792529147003405,2.8792529147003405,True,True,False
E0_nominal,C04,C,200.0,0.0,2.8659047623925873,2.8659047623925873,True,True,False
E0_nominal,C04,C,220.0,0.0,2.8851412656722526,2.8851412656722526,True,True,False
E1_shift50m,C04,C,180.0,0.09768512451211434,2.88329111774793,2.7856059932358157,True,True,False
E1_shift50m,C04,C,200.0,0.09768512451211434,2.88329111774793,2.7856059932358157,True,True,False
E1_shift50m,C04,C,220.0,0.09768512451211434,2.88329111774793,2.7856059932358157,True,True,False
E2_shift150m_plus2,C04,C,180.0,0.05562182651196468,2.87854734796853,2.8229255214565656,True,True,False
E2_shift150m_plus2,C04,C,200.0,0.05562182651196468,2.87854734796853,2.8229255214565656,True,True,False
E2_shift150m_plus2,C04,C,220.0,0.05562182651196468,2.87854734796853,2.8229255214565656,True,True,False
E0_nominal,C05,C,180.0,0.0,3.593690068433402,3.593690068433402,True,True,False
E0_nominal,C05,C,200.0,0.0,3.6189852515572065,3.6189852515572065,True,True,False
E0_nominal,C05,C,220.0,0.0,3.5683873197449794,3.5683873197449794,True,True,False
E1_shift50m,C05,C,180.0,0.4181421571632277,3.4790999272873453,3.0609577701241175,True,True,False
E1_shift50m,C05,C,200.0,0.4181421571632277,3.4790999272873453,3.0609577701241175,True,True,False
E1_shift50m,C05,C,220.0,0.4181421571632277,3.4790999272873453,3.0609577701241175,True,True,False
E2_shift150m_plus2,C05,C,180.0,0.19066715027492606,3.556624945700647,3.3659577954257207,True,True,False
E2_shift150m_plus2,C05,C,200.0,0.19066715027492606,3.556624945700647,3.3659577954257207,True,True,False
E2_shift150m_plus2,C05,C,220.0,0.19066715027492606,3.556624945700647,3.3659577954257207,True,True,False
E0_nominal,C06,C,180.0,0.0,1.327894377116004,1.327894377116004,True,True,False
E0_nominal,C06,C,200.0,0.0,1.3549074445040408,1.3549074445040408,True,True,False
E0_nominal,C06,C,220.0,0.0,1.3728786844689804,1.3728786844689804,True,True,False
E1_shift50m,C06,C,180.0,0.5496945053989084,1.4315019093902808,0.8818074039913724,True,True,False
E1_shift50m,C06,C,200.0,0.5496945053989084,1.4315019093902808,0.8818074039913724,True,True,False
